ZipCode,MedianIncome
4963,C: 40-60k
4964,C: 40-60k
4965,C: 40-60k
4966,B: 20-40k
4967,C: 40-60k
4969,C: 40-60k
4970,C: 40-60k
4971,C: 40-60k
4973,C: 40-60k
4974,B: 20-40k
1366,D: 60-80k
4976,B: 20-40k
4978,C: 40-60k
4979,C: 40-60k
4981,C: 40-60k
4982,B: 20-40k
4983,B: 20-40k
4984,B: 20-40k
4986,C: 40-60k
1367,C: 40-60k
4987,B: 20-40k
4988,C: 40-60k
4989,C: 40-60k
5001,C: 40-60k
5031,C: 40-60k
5032,C: 40-60k
5033,C: 40-60k
5034,E: 80-100k
5035,C: 40-60k
1026,C: 40-60k
1368,C: 40-60k
5036,D: 60-80k
5037,E: 80-100k
5038,C: 40-60k
5039,C: 40-60k
5040,D: 60-80k
5041,C: 40-60k
5042,C: 40-60k
5043,C: 40-60k
5045,D: 60-80k
5046,C: 40-60k
1370,C: 40-60k
5048,C: 40-60k
5051,C: 40-60k
5052,C: 40-60k
5053,E: 80-100k
5055,E: 80-100k
5056,C: 40-60k
5058,C: 40-60k
5060,C: 40-60k
1373,D: 60-80k
5061,D: 60-80k
5062,C: 40-60k
5065,C: 40-60k
5067,D: 60-80k
5068,B: 20-40k
5069,C: 40-60k
5070,E: 80-100k
5072,D: 60-80k
5075,F: 100-120k
1375,C: 40-60k
5076,C: 40-60k
5077,C: 40-60k
5079,C: 40-60k
5081,B: 20-40k
5083,B: 20-40k
5084,C: 40-60k
5086,C: 40-60k
5089,C: 40-60k
5091,D: 60-80k
5101,C: 40-60k
1376,C: 40-60k
5141,A: 0-20k
5142,C: 40-60k
5143,C: 40-60k
5146,C: 40-60k
5148,C: 40-60k
5149,C: 40-60k
5150,B: 20-40k
5151,C: 40-60k
5152,C: 40-60k
5153,C: 40-60k
1378,C: 40-60k
5154,B: 20-40k
5155,C: 40-60k
5156,C: 40-60k
5158,C: 40-60k
5161,D: 60-80k
5201,C: 40-60k
5250,C: 40-60k
5251,D: 60-80k
5252,C: 40-60k
5253,D: 60-80k
1379,C: 40-60k
5254,D: 60-80k
5255,C: 40-60k
5257,C: 40-60k
5260,C: 40-60k
5261,C: 40-60k
5262,D: 60-80k
5301,C: 40-60k
5340,C: 40-60k
5341,C: 40-60k
5342,C: 40-60k
1420,C: 40-60k
5343,C: 40-60k
5345,C: 40-60k
5346,C: 40-60k
5350,B: 20-40k
5352,D: 60-80k
5353,C: 40-60k
5354,C: 40-60k
5355,C: 40-60k
5356,C: 40-60k
5358,C: 40-60k
1430,E: 80-100k
5359,C: 40-60k
5360,D: 60-80k
5361,C: 40-60k
5362,E: 80-100k
5363,C: 40-60k
5401,C: 40-60k
5403,D: 60-80k
5404,C: 40-60k
5408,D: 60-80k
1431,E: 80-100k
5440,C: 40-60k
5441,D: 60-80k
5442,C: 40-60k
5443,D: 60-80k
5444,D: 60-80k
5445,F: 100-120k
5446,D: 60-80k
5447,B: 20-40k
5448,D: 60-80k
1027,C: 40-60k
1432,D: 60-80k
5450,C: 40-60k
